scenario,replicate,estimate_full,se_full,estimate_coarsened,se_coarsened,estimate_sequential,se_sequential,complete_proportion,l1_only_proportion,neither_proportion,min_pi1_oof,min_pi2_oof,min_pis_oof
CCMAR-compatible,90,0.47380276885886385,0.03613645490404685,0.4963134257848124,0.0951757025765874,0.4801369870300559,0.06297183038072876,0.257,0.56475,0.17825,0.6490180344110725,0.1859533218273727,0.030458037853389266
CCMAR-compatible,91,0.49437642614958544,0.037798512448870766,0.5239179571903406,0.08217227725172527,0.5341279302154917,0.06918830889504665,0.27475,0.5655,0.15975,0.7144572171712501,0.20693725143467737,0.04082312116232327
CCMAR-compatible,92,0.5612556139180352,0.038301759743920215,0.5398269091876879,0.09115842312373841,0.5141087576508642,0.06763679038268589,0.275,0.5535,0.1715,0.734028025534527,0.19355424481648126,0.04360102516537118
CCMAR-compatible,93,0.45231700356116106,0.037993903492490946,0.5489394903775058,0.09204880942193389,0.43771764153126275,0.059853104011654695,0.26525,0.55575,0.179,0.6796468976603175,0.2241436137011366,0.04085625951187479
CCMAR-compatible,94,0.45314151641929395,0.038659218140554216,0.49486530988811384,0.09531459241476387,0.480663566313317,0.06886968206140269,0.2585,0.55725,0.18425,0.7254886033238871,0.2631826368088885,0.04320453970349767
CCMAR-compatible,95,0.5062293684397055,0.039608508405825006,0.42054752371605914,0.10104835909295412,0.4525051581361475,0.06685510055720273,0.26925,0.54825,0.1825,0.7078830653949474,0.23490284205675283,0.02784850490820111
CCMAR-compatible,96,0.43925048761270363,0.037238845429911856,0.4837938214300947,0.09261574770904644,0.4606468021104874,0.0649266626580353,0.2605,0.5615,0.178,0.720657949941062,0.19755019380225414,0.039912969191021365
CCMAR-compatible,97,0.4817653074749354,0.0376216291594491,0.35535131864543623,0.09471586735376501,0.3855875543870894,0.0626784409527819,0.28,0.554,0.166,0.7092310298628136,0.2466991097911142,0.04347066964533882
CCMAR-compatible,98,0.4641329859066755,0.035374487696407185,0.5523050953390782,0.06652242374688994,0.49487705508573865,0.0534661034408546,0.2655,0.552,0.1825,0.6979030574694436,0.23800328480595992,0.045420014881769576
CCMAR-compatible,99,0.48830633026845044,0.037698645380830204,0.5622312015872208,0.08271883562019888,0.4903940935326241,0.05960122134127319,0.27575,0.5475,0.17675,0.6662524348101614,0.21308802337366248,0.04092954789322697
CCMAR-compatible,100,0.528887831151396,0.03711582134592675,0.640226148866172,0.0949791572638889,0.5729562706935234,0.06477967616494791,0.2595,0.5605,0.18,0.6440516986399577,0.19719013736972388,0.032374008092180405
Sequential-MAR,1,0.5522318348273152,0.03578405997999338,0.6021444781946681,0.07184055384090511,0.5270345712237173,0.0559939984871859,0.32575,0.50625,0.168,0.6529789483714686,0.17418922575202592,0.0482281810314588
Sequential-MAR,2,0.516958320882243,0.03805731610317925,0.5397749073220796,0.06642897058621205,0.5811774767395954,0.05812351731725161,0.321,0.5,0.179,0.6653407722483571,0.16449305302070824,0.06493095722789531
Sequential-MAR,3,0.5177961124409322,0.03617851507019068,0.796654746671323,0.11347700567389028,0.7178931459489761,0.10857757587724015,0.32025,0.51475,0.165,0.71905233031402,0.1540440798492517,0.036610475423179065
Sequential-MAR,4,0.5371000486592029,0.03650736633175148,0.41251513875325535,0.1001381436078985,0.5001919149161127,0.06540636038966492,0.3125,0.519,0.1685,0.7129600147115693,0.1554874844868808,0.025
Sequential-MAR,5,0.4872220744353129,0.03747407110913398,0.5696382708257081,0.08424449716778523,0.5695928908937304,0.06112152049744034,0.3195,0.49875,0.18175,0.7583001906926767,0.1416349874267923,0.034771655752251385
Sequential-MAR,6,0.4765779080613854,0.03668810177458485,0.4619386289995025,0.07312190871688648,0.4529260540335028,0.06128768705144023,0.3155,0.50525,0.17925,0.6929808980881619,0.16324721638904693,0.06533475896428616
Sequential-MAR,7,0.48162908031763874,0.03683803883372139,0.5270993506451513,0.08667295514348029,0.5252832120437502,0.06797095403314882,0.3085,0.52225,0.16925,0.7074510464041263,0.1434164142997573,0.025407340107349387
